Transaction_ID,Amount,Transaction_Hour,Previous_Transaction_Amount,Transaction_Frequency,Account_Age,Is_New_Device,Is_International,Fraud
T00053,8415.28,19,2082.32,1,3,0,0,0
T00054,6756.46,12,14.88,2,5,1,0,0
T00055,2733.16,7,606.78,4,2,1,0,1
T00056,7648.31,5,62.72,2,6,0,0,0
T00057,277.97,16,3511.55,2,9,0,0,0
T00058,654.4,11,393.52,6,1,0,0,0
T00059,138.85,0,5082.29,4,3,1,0,1
T00060,1180.6,2,2577.32,1,10,0,0,1
T00061,1476.39,13,651.53,1,1,0,0,0
T00062,949.68,7,429.11,3,5,0,1,0
T00063,5293.67,10,2469.63,3,5,0,0,0
T00064,1323.68,13,5777.48,3,4,0,1,1
T00065,989.41,7,3167.82,4,5,0,0,0
T00066,2347.22,2,1071.37,0,8,0,0,1
T00067,455.69,6,2213.09,3,8,1,0,0
T00068,4861.45,18,930.42,3,6,0,0,0
T00069,232.43,3,17674.41,2,4,1,0,0
T00070,13002.44,15,3454.15,5,4,0,0,0
T00071,4438.45,12,2382.27,2,5,1,0,0
T00072,664.62,19,1375.91,4,5,0,0,0
T00073,16.61,18,2406.83,3,2,0,0,0
T00074,5069.69,4,1044.92,1,6,0,0,1
T00075,3681.29,22,73.22,1,7,0,1,0
T00076,3916.99,4,1256.68,3,3,0,0,0
T00077,4425.64,19,6665.38,1,10,1,1,0
T00078,230.79,23,2460.76,3,4,0,0,0
T00079,1331.68,3,219.23,7,9,1,0,1
T00080,369.45,1,5406.92,2,4,0,0,0
T00081,5965.59,12,782.93,4,10,0,0,0
T00082,2928.9,15,698.52,2,7,0,0,0
T00083,1205.46,21,881.32,2,2,0,0,0
T00084,197.0,1,2152.15,2,5,0,0,0
T00085,1117.47,18,1966.93,1,6,0,1,1
T00086,1179.94,16,1690.3,2,2,1,0,0
T00087,3923.63,4,3160.52,4,1,0,0,0
T00088,3044.67,17,951.46,2,9,0,0,0
T00089,6546.76,22,3808.89,2,7,0,1,0
T00090,1917.2,20,481.9,0,8,0,0,0
T00091,382.12,17,3815.28,1,5,0,0,0
T00092,3747.38,7,2725.2,3,5,1,0,0
T00093,4291.18,14,2873.78,4,1,0,1,1
T00094,2471.66,12,1642.3,3,3,1,0,1
T00095,4421.67,12,2749.04,4,7,0,0,0
T00096,2042.44,15,207.9,3,10,0,0,0
T00097,2219.04,21,4768.79,7,9,0,0,0
T00098,1673.44,19,142.87,1,8,0,1,0
T00099,77.24,12,402.6,3,5,1,0,0
T00100,342.5,19,2149.72,0,3,0,0,0
T00101,95.8,1,3362.03,3,9,0,0,0
T00102,3035.19,2,198.29,4,4,0,0,1
T00103,1132.19,14,6338.34,2,9,0,0,0
T00104,2131.31,22,9086.7,1,3,1,0,0
T00105,7143.8,18,2328.19,3,7,0,1,0
T00106,860.22,12,1640.8,5,1,0,0,0
T00107,1584.85,4,3381.13,6,10,0,0,0
T00108,4226.25,21,995.07,4,5,0,0,0
T00109,779.42,5,1699.41,0,9,1,0,0
T00110,240.31,13,6196.85,4,9,0,0,0
T00111,1026.42,3,7789.41,2,6,0,1,1
T00112,527.43,21,6545.61,2,6,0,0,0
T00113,7964.85,18,761.05,2,3,0,1,0
T00114,4952.66,22,661.44,3,9,0,0,0
T00115,3010.48,6,883.36,3,1,0,0,1
T00116,6154.56,3,1455.41,4,7,0,0,0
T00117,4883.91,1,942.8,1,3,0,0,1
T00118,619.49,6,1171.86,1,2,1,0,0
T00119,6692.44,2,2423.15,2,5,0,1,0
T00120,2325.3,14,3594.24,3,5,0,0,0
T00121,4942.04,0,3325.34,3,2,0,0,0
T00122,6792.73,1,4210.72,5,8,0,0,1
T00123,1148.19,9,81.78,3,2,0,0,0
T00124,349.78,15,122.28,0,8,0,0,0
T00125,776.06,14,3894.28,5,6,0,0,0
T00126,1671.17,23,1903.99,1,10,1,0,1
T00127,5111.49,14,2157.71,2,4,0,0,0
T00128,5914.03,13,135.05,5,3,0,0,0
T00129,20.93,21,736.98,4,9,0,0,0
T00130,2144.63,13,2542.73,1,6,0,0,0
T00131,1620.82,5,4900.72,4,5,0,0,0
T00132,753.5,13,6221.79,10,10,0,0,1
T00133,383.04,16,1734.97,3,3,0,0,0
T00134,1235.73,17,1971.25,3,3,1,0,0
T00135,8589.36,19,4475.15,7,6,0,0,0
T00136,1171.15,18,1928.45,4,10,0,0,0
T00137,2194.36,16,1818.61,2,4,1,0,0
T00138,3642.26,15,5886.91,5,4,1,0,0
T00139,1355.92,7,3900.82,3,8,0,0,0
T00140,10703.39,6,5994.23,2,2,0,1,0
T00141,9846.03,19,615.54,5,6,0,0,1
T00142,870.18,11,1857.82,3,9,0,0,0
T00143,2062.98,8,4620.38,5,3,1,1,0
T00144,1073.79,13,294.56,4,5,0,0,0
T00145,1005.75,19,3957.75,2,7,1,0,0
T00146,112.75,0,505.21,3,1,0,0,0
T00147,2821.48,9,4127.2,2,8,0,1,0
T00148,2095.56,16,2366.88,4,6,0,0,0
T00149,158.55,16,536.81,3,4,0,0,0
T00150,979.88,16,1603.07,2,6,0,0,0
T00151,7166.58,3,2863.51,3,2,1,0,0
T00152,821.58,16,2511.8,2,4,0,0,0
T00153,469.59,17,1393.25,3,8,0,0,0
T00154,2016.82,19,5740.68,2,4,0,0,0
T00155,12732.11,22,1831.09,3,5,1,0,0
T00156,831.43,1,1762.38,4,2,0,0,1
T00157,3345.47,7,160.68,2,3,1,1,0
T00158,4301.66,12,6381.48,0,3,1,0,0
T00159,814.0,22,487.35,0,2,0,0,0
T00160,3908.25,21,1878.77,1,8,0,0,0
T00161,1375.57,19,4068.59,2,3,0,0,0
T00162,3001.51,21,606.62,1,1,0,0,0
T00163,3011.51,14,1873.62,1,2,0,0,0
T00164,2302.16,19,688.35,4,8,0,0,0
T00165,283.89,22,3564.62,0,1,0,0,0
T00166,5410.93,8,2077.24,3,1,0,0,0
T00167,1160.43,2,4844.44,3,1,0,0,1
T00168,619.3,2,5623.99,1,10,0,0,0
T00169,124.89,1,2615.53,2,8,0,1,1
T00170,2681.34,0,3231.02,2,6,1,0,1
T00171,3395.56,13,1991.94,0,7,0,0,0
T00172,50.18,16,1213.01,3,4,0,0,0
T00173,2152.89,12,2611.15,3,8,0,0,0
T00174,770.47,18,5972.77,3,2,0,1,0
T00175,3108.37,22,1347.55,3,9,0,0,0
T00176,574.81,14,943.69,1,4,0,0,0
T00177,3522.64,13,1229.34,3,1,0,0,0
T00178,1466.88,1,1429.08,4,2,0,0,0
T00179,8281.03,6,191.02,2,8,1,0,1
T00180,443.83,16,1725.09,2,9,0,0,0
T00181,1251.4,17,1704.6,7,5,1,0,0
T00182,361.33,5,2219.52,1,4,1,0,1
T00183,7758.57,20,1126.76,10,10,1,0,1
T00184,6295.0,7,2374.02,1,7,1,0,0
T00185,894.98,1,5263.77,0,2,0,0,0
T00186,3236.29,0,7779.04,3,7,1,0,1
T00187,5098.45,15,2190.35,3,9,0,0,0
T00188,2430.4,6,108.81,3,2,0,0,0
T00189,2262.84,21,8703.53,3,8,0,0,0
T00190,830.63,23,3059.27,4,6,0,0,0
T00191,293.18,10,1023.55,1,6,0,0,0
T00192,6825.37,14,397.95,3,4,1,0,0
T00193,6920.32,12,387.01,5,9,0,0,0
T00194,3008.01,23,459.04,2,8,0,1,1
T00195,1242.14,1,116.61,3,7,0,1,1
T00196,1288.7,13,5810.91,2,5,0,0,0
T00197,3883.4,23,1945.5,1,5,0,0,0
T00198,6822.29,5,3009.59,2,2,0,0,0
T00199,6543.4,8,4402.23,5,5,0,0,0
T00200,4540.69,6,3920.03,3,3,0,0,0
T00201,3081.93,17,5355.54,1,7,0,0,0
T00202,263.68,23,8547.48,1,9,0,0,0
T00203,528.88,8,1445.4,5,10,0,0,0
T00204,6864.69,22,7506.16,2,6,0,0,0
T00205,2797.48,3,3211.96,3,10,1,0,1
T00206,27.72,8,183.22,5,7,0,0,0
T00207,320.99,3,2862.56,0,7,0,1,0
T00208,3267.49,11,2901.62,5,7,0,0,0
T00209,15.22,3,5907.45,3,4,0,0,0
T00210,525.95,23,1166.75,1,6,0,0,0
T00211,2387.09,19,2198.16,2,7,1,0,0
T00212,3531.95,13,30.66,3,10,0,0,0
T00213,3166.32,23,1008.95,4,4,1,0,0
T00214,761.85,23,160.66,4,9,1,0,1
T00215,3736.25,6,1844.7,3,9,1,1,1
T00216,812.47,12,4251.8,2,4,0,0,0
T00217,1180.9,21,578.07,1,8,0,0,0
T00218,4117.07,7,1873.98,6,8,0,0,0
T00219,3146.32,22,570.42,5,2,1,0,0
T00220,5675.87,4,321.54,0,6,0,0,1
T00221,3215.44,11,1788.47,1,9,0,0,0
T00222,2520.13,12,206.14,3,8,0,0,0
T00223,295.07,19,2212.92,5,1,1,0,0
T00224,1375.25,13,79.6,1,5,1,1,0
T00225,924.48,17,282.12,3,5,0,0,0
T00226,839.1,23,1996.26,5,9,0,0,0
T00227,10836.93,19,2237.59,1,2,0,0,1
T00228,1498.16,3,73.54,3,5,0,0,1
T00229,6678.17,20,2129.64,2,1,0,1,1
T00230,2992.0,17,4558.16,5,8,1,1,1
T00231,4751.48,6,3203.18,4,8,1,0,0
T00232,2095.31,14,351.56,1,2,0,1,1
T00233,2580.47,20,2244.13,6,10,0,0,0
T00234,2034.88,5,2788.78,2,1,0,0,0
T00235,651.64,15,94.85,2,3,0,1,1
T00236,3845.29,19,4833.56,4,9,0,0,0
T00237,988.73,23,5918.27,1,7,0,0,0
T00238,73.85,7,4750.35,3,7,0,0,0
T00239,3110.91,20,4352.16,3,10,0,0,0
T00240,584.8,15,3415.89,3,4,0,0,0
T00241,8463.25,21,2508.93,3,5,0,0,0
T00242,9232.69,15,2837.88,4,7,0,0,0
T00243,7390.53,2,4104.84,4,2,0,0,1
T00244,1386.86,16,2715.46,3,3,0,0,0
T00245,46.73,8,992.73,3,3,1,0,0
T00246,7906.57,2,1178.86,4,7,0,0,1
T00247,1676.81,19,5683.96,3,7,0,1,0
T00248,10202.53,6,43.18,2,6,0,0,1
T00249,9941.21,17,3000.12,3,1,0,0,1
T00250,5752.16,11,7740.4,3,10,0,0,0
T00251,1046.33,18,3062.38,2,8,1,1,0
T00252,1458.88,15,12753.58,3,10,1,0,0
T00253,5714.18,21,2908.24,3,10,1,0,0
T00254,1143.44,23,87.42,4,4,0,0,0
T00255,557.16,16,4386.3,7,8,0,0,0
T00256,2441.21,19,837.39,3,7,1,0,0
T00257,8253.88,14,1476.73,4,1,0,0,0
T00258,3572.48,0,935.25,3,7,0,0,1
T00259,2532.34,1,781.83,4,4,0,0,0
T00260,306.68,7,1411.47,4,5,0,1,0
T00261,2863.59,21,1190.06,2,6,0,0,0
T00262,13831.71,1,2508.29,3,5,0,0,0
T00263,452.76,18,4193.64,3,2,0,0,0
T00264,2191.49,8,881.31,1,8,0,0,0
T00265,6295.83,8,601.11,1,8,0,0,0
T00266,4050.1,12,2748.25,2,5,0,0,0
T00267,3582.22,5,2774.08,2,5,0,0,0
T00268,3636.86,14,5784.9,4,7,0,0,0
T00269,1336.48,18,40.19,2,2,0,0,1
T00270,1042.69,20,4794.0,2,5,0,0,0
T00271,4972.12,14,1840.15,3,1,1,1,1
T00272,4983.98,17,2427.54,2,4,0,0,0
T00273,6053.85,6,239.55,1,8,0,0,1
T00274,7333.85,10,1416.79,3,1,1,0,1
T00275,2148.28,7,644.67,2,10,0,0,0
T00276,2088.55,5,733.33,2,1,0,0,0
T00277,4802.85,7,1753.43,2,4,0,0,0
T00278,3149.16,1,4184.35,5,10,1,0,0
T00279,3631.65,18,3404.31,2,5,0,0,0
T00280,4765.86,15,2235.1,2,9,0,0,0
T00281,6621.97,6,1938.16,3,5,0,0,0
T00282,1237.45,9,1393.51,3,1,0,0,1
T00283,1412.81,11,9003.08,4,3,0,0,0
T00284,296.09,16,2053.55,3,4,0,0,0
T00285,2590.24,6,732.46,4,7,0,0,0
T00286,109.81,21,653.71,3,2,1,0,0
T00287,1879.82,7,2362.71,1,4,0,0,0
T00288,2346.88,6,1849.69,3,8,0,0,0
T00289,1012.89,3,19.32,3,5,0,0,1
T00290,2680.9,2,4430.85,1,6,0,0,0
T00291,92.93,18,3044.52,3,3,0,0,0
T00292,114.19,14,2710.51,2,4,0,0,0
T00293,5188.05,3,178.15,0,9,1,0,1
T00294,1339.76,8,1123.76,0,2,0,0,0
T00295,407.67,12,6848.17,2,3,0,1,0
T00296,2215.96,17,4961.95,4,2,0,0,0
T00297,4408.94,20,840.58,2,2,0,0,0
T00298,729.35,15,427.15,4,9,1,0,1
T00299,2925.66,0,1490.45,1,8,0,0,0
T00300,267.63,3,1099.48,3,7,0,1,1
T00301,159.2,17,2866.04,3,9,0,0,0
T00302,2273.73,7,8485.66,0,8,0,0,0
T00303,2333.73,19,1127.47,1,9,0,0,0
T00304,3043.61,15,160.61,4,2,0,0,0
T00305,3884.88,20,5697.51,3,7,0,0,0
T00306,11170.67,10,96.72,1,9,0,0,0
T00307,2178.87,19,7631.6,1,9,0,0,0
T00308,1170.06,20,2730.93,4,8,1,0,0
T00309,4756.96,20,7104.92,3,1,0,0,0
T00310,947.55,20,556.8,6,3,1,0,0
T00311,1733.95,18,103.88,5,8,0,0,0
T00312,245.12,22,1674.6,3,3,0,1,0
T00313,77.03,18,1497.43,3,4,0,1,0
T00314,9862.14,17,1006.77,2,10,0,1,0
T00315,5423.3,18,7904.85,2,2,1,0,0
T00316,3571.93,10,4323.14,1,3,0,0,0
T00317,1577.58,2,2708.68,0,5,0,0,0
T00318,570.92,7,444.4,6,6,0,0,0
T00319,510.36,19,3313.69,1,6,0,0,1
T00320,864.02,18,3245.82,4,7,0,0,0
T00321,2390.37,9,1383.76,4,10,0,1,0
T00322,3761.55,15,6468.54,1,8,1,0,0
T00323,3238.17,4,456.74,5,6,0,0,1
T00324,985.24,19,777.68,2,10,1,0,0
T00325,9294.31,8,163.28,4,6,0,0,0
T00326,4017.05,7,3967.37,1,2,0,1,0
T00327,2424.69,10,2430.56,3,3,0,0,0
T00328,2838.09,15,945.62,8,6,0,0,0
T00329,1632.11,6,447.26,4,6,0,0,0
T00330,853.98,14,102.44,0,6,1,0,0
T00331,1320.04,23,456.04,4,4,0,0,0
T00332,4254.55,20,1509.57,6,2,0,0,0
T00333,43.49,19,709.81,2,8,0,0,0
T00334,370.14,22,749.33,4,2,0,0,0
T00335,141.28,16,5210.16,1,3,0,0,0
T00336,124.74,5,1809.73,1,1,1,0,0
T00337,5802.61,14,3266.42,2,9,1,0,0
T00338,3648.72,7,90.91,2,3,0,0,0
T00339,1928.35,6,1135.97,4,2,0,0,0
T00340,308.87,1,1630.83,3,6,0,1,0
T00341,2029.55,12,515.77,1,8,0,0,0
T00342,1924.35,22,320.13,5,4,0,0,0
T00343,570.58,5,5106.4,6,1,0,0,0
T00344,1706.7,4,7009.96,3,7,0,0,0
T00345,1525.01,19,205.21,3,3,0,0,1
T00346,2870.17,0,1073.19,3,5,0,0,0
T00347,3024.34,17,7942.27,5,2,0,0,0
T00348,139.09,14,217.06,2,8,1,0,1
T00349,1408.15,22,2579.54,3,3,1,0,0
T00350,2949.37,9,8958.72,4,9,0,0,0
T00351,2098.32,2,9567.33,3,1,0,1,0
T00352,5824.05,4,1592.97,3,6,0,0,1
T00353,3224.92,23,444.08,3,3,0,0,0
T00354,533.56,12,564.38,0,4,0,0,0
T00355,219.55,7,5509.14,0,4,0,1,0
T00356,3085.18,21,6067.06,3,8,0,0,0
T00357,80.61,20,2340.47,6,9,1,1,0
T00358,2644.04,1,3632.97,6,5,0,0,0
T00359,8451.77,8,3367.02,2,10,0,0,0
T00360,2570.35,16,2710.45,5,10,0,0,0
T00361,1473.9,17,4390.16,2,3,0,0,1
T00362,3092.48,12,2891.19,3,9,0,0,0
T00363,1838.87,0,1908.94,0,1,0,0,0
T00364,2366.44,11,676.1,2,1,0,0,0
T00365,8514.38,19,3405.35,4,3,0,0,0
T00366,1463.78,19,1603.46,3,2,0,0,0
T00367,9747.28,20,873.16,6,8,0,1,0
T00368,7072.73,4,4048.04,4,5,1,0,1
T00369,653.69,7,2982.69,4,10,1,0,1
T00370,215.65,14,6925.06,5,1,1,0,0
T00371,318.68,2,452.13,5,3,0,0,1
T00372,55.17,5,2618.77,0,3,0,0,0
T00373,297.62,12,700.08,4,2,0,1,1
T00374,3446.62,11,5847.68,2,9,1,1,0
T00375,221.55,18,262.01,3,1,0,0,0
T00376,1152.47,17,2668.96,5,10,0,0,0
T00377,5590.58,23,3914.58,2,5,1,0,0
T00378,70.64,0,1095.94,3,9,0,0,0
T00379,5053.59,6,7705.3,2,3,0,1,1
T00380,993.25,11,4755.01,6,10,0,0,0
T00381,377.25,9,872.54,1,3,0,0,0
T00382,3579.47,11,18.92,2,7,0,0,0
T00383,2974.2,10,879.78,3,1,0,1,0
T00384,6298.25,3,825.81,4,9,0,0,1
T00385,3984.88,18,5517.38,1,7,0,0,0
T00386,4880.99,5,8537.32,2,8,1,0,0
T00387,994.0,8,182.61,2,2,0,0,0
T00388,586.0,19,1593.31,2,3,1,0,0
T00389,4166.27,9,1987.02,3,9,1,0,0
T00390,4932.63,4,243.79,3,4,0,0,1
T00391,13971.01,12,1185.02,0,5,0,0,1
T00392,1596.24,8,953.45,5,9,0,0,0
T00393,1395.73,1,1919.98,4,10,0,0,1
T00394,4493.86,17,2705.8,4,8,0,1,1
T00395,1250.2,20,3039.14,0,5,0,0,0
T00396,8010.41,0,367.64,3,2,1,0,0
T00397,5864.52,23,4190.92,4,3,0,0,0
T00398,1681.07,20,2837.22,2,3,1,0,1
T00399,4169.35,11,5497.25,1,7,0,0,0
T00400,4213.9,9,1491.58,2,6,0,0,0
T00401,326.51,1,5608.19,4,7,0,0,1
T00402,6985.34,8,5020.58,3,8,0,0,0
T00403,2111.12,1,1442.46,2,5,0,0,0
T00404,5254.0,22,1199.7,2,6,0,0,0
T00405,1157.21,23,6750.65,3,1,0,0,0
T00406,6776.37,21,3139.61,2,4,1,0,0
T00407,1478.97,13,6586.26,3,6,0,0,0
T00408,32.69,10,3986.06,1,4,0,0,0
T00409,7073.72,22,2349.52,5,1,0,0,1
T00410,287.18,10,307.83,1,3,0,1,0
T00411,1153.96,16,861.44,3,3,0,0,0
T00412,8990.92,3,8671.74,3,3,0,0,0
T00413,9023.85,12,962.03,2,4,1,0,0
T00414,2555.99,6,244.73,2,9,0,1,1
T00415,2997.69,15,3073.68,3,9,0,1,0
T00416,1785.04,0,3310.69,4,8,0,0,0
T00417,1041.07,12,840.28,3,3,0,0,0
T00418,1195.46,0,883.39,0,2,1,0,0
T00419,3348.97,10,1581.98,2,3,0,1,0
T00420,4187.51,5,55.07,1,5,0,0,0
T00421,4704.59,19,3893.57,1,7,0,0,0
T00422,4676.49,2,953.48,3,2,0,0,1
T00423,286.91,11,4806.32,2,6,0,0,0
T00424,2046.15,4,4056.69,2,2,0,1,0
T00425,177.85,8,2707.35,3,1,0,0,0
T00426,2392.38,11,982.14,2,3,0,0,0
T00427,1747.67,9,1815.81,3,4,0,0,0
T00428,6559.86,18,1471.2,3,2,0,1,0
T00429,1296.57,4,1034.56,2,3,0,0,0
T00430,373.52,4,4711.93,4,6,1,0,1
T00431,462.92,8,1651.73,2,9,0,0,0
T00432,4300.29,19,4470.26,3,2,0,0,0
T00433,2888.72,16,277.94,2,7,0,0,0
T00434,319.83,9,380.04,2,1,0,0,0
T00435,263.57,20,9465.71,2,4,1,0,1
T00436,3621.63,0,2215.43,3,2,0,0,0
T00437,226.64,21,1782.2,3,4,0,0,1
T00438,5175.56,15,1851.42,3,2,0,0,0
T00439,3675.0,14,606.04,2,3,0,1,1
T00440,254.55,22,3170.87,3,8,0,0,0
T00441,265.96,16,221.48,1,4,1,1,0
T00442,12946.38,19,2129.32,4,6,0,0,1
T00443,1406.51,12,2114.4,4,9,1,0,0
T00444,1389.17,0,6139.0,2,8,0,1,0
T00445,5026.73,7,1867.33,1,2,0,0,0
T00446,8826.49,4,368.53,3,2,0,0,1
T00447,12806.32,5,2125.98,3,3,0,0,1
T00448,4199.7,22,239.43,2,2,1,1,0
T00449,1416.06,19,569.74,4,3,0,0,0
T00450,261.58,13,79.01,4,2,0,0,1
T00451,4503.73,21,1800.24,2,6,0,0,0
T00452,2452.08,22,220.8,4,9,0,0,0
T00453,1656.1,10,1584.34,3,8,0,0,0
T00454,7104.71,5,6755.61,1,6,1,0,0
T00455,353.64,10,3180.28,4,4,0,0,0
T00456,2035.52,12,201.43,0,10,1,1,0
T00457,34.26,11,634.68,5,5,0,0,0
T00458,1897.06,21,2799.56,1,4,0,0,0
T00459,173.85,1,5627.4,4,5,0,0,0
T00460,379.47,20,83.68,2,2,0,0,0
T00461,375.08,2,4184.29,1,8,0,0,0
T00462,3142.71,22,2062.78,5,1,0,0,0
T00463,4111.79,3,1974.65,3,9,0,0,0
T00464,2626.66,16,7914.12,2,1,0,0,0
T00465,9824.16,21,3442.29,2,5,0,0,0
T00466,1409.39,5,4744.78,7,9,0,0,0
T00467,1009.41,6,1092.37,4,1,1,0,0
T00468,6088.51,14,2020.63,2,1,0,0,0
T00469,759.25,10,2388.92,0,3,0,0,0
T00470,9908.61,23,969.99,2,8,0,0,1
T00471,36.69,2,2111.37,1,3,1,0,1
T00472,10507.58,5,675.11,2,2,0,0,0
T00473,132.36,1,386.89,3,6,0,0,1
T00474,6653.16,13,1170.89,3,10,0,0,0
T00475,2250.43,8,3360.86,3,5,0,0,0
T00476,14870.49,17,6197.92,4,9,0,1,0
T00477,229.98,18,1529.9,1,3,0,0,0
T00478,2421.33,11,2573.81,4,4,1,1,0
T00479,10450.73,12,271.85,4,10,0,0,1
T00480,2221.33,11,5870.62,2,8,0,0,0
T00481,2977.88,11,2101.82,4,2,0,0,0
T00482,3569.7,17,3789.17,6,5,0,0,0
T00483,1818.38,8,3955.06,6,9,1,0,0
T00484,2963.02,16,740.9,2,9,0,0,0
T00485,2633.48,20,1883.17,2,10,0,0,0
T00486,6942.7,15,8077.36,0,9,0,0,0
T00487,139.53,16,234.77,3,1,0,0,0
T00488,989.53,20,2872.53,1,1,0,0,0
T00489,9011.99,23,8192.86,5,1,0,0,0
T00490,6629.03,7,893.75,5,8,0,0,1
T00491,1824.53,10,4941.27,3,4,0,1,0
T00492,2903.8,23,6782.31,2,9,0,0,0
T00493,974.62,1,3436.77,3,6,0,0,0
T00494,625.21,7,657.73,4,3,0,0,0
T00495,1869.18,11,1016.17,2,8,0,0,0
T00496,1307.86,20,91.17,3,1,0,0,1
T00497,2628.73,0,4451.36,2,2,0,1,1
T00498,242.77,22,4736.33,2,8,0,0,0
T00499,10994.88,12,2504.01,1,1,0,0,0
T00500,12851.6,21,1086.7,1,5,0,1,1
T00501,3593.59,20,199.8,5,3,1,0,0
T00502,2304.24,16,3496.5,2,2,0,0,0
T00503,1111.14,13,3241.37,5,4,0,1,0
T00504,5042.72,13,6093.22,2,2,0,0,0
T00505,3462.99,15,3278.26,1,5,0,0,0
T00506,532.42,16,4410.77,5,8,1,0,0
T00507,7254.9,5,3425.61,4,4,0,0,0
T00508,5186.98,6,2490.28,3,7,1,0,0
T00509,8975.22,0,1392.03,1,5,0,0,0
T00510,3880.81,14,5809.96,6,9,0,0,0
T00511,2851.21,19,2631.48,2,2,0,0,0
T00512,1625.11,20,1270.22,3,2,0,1,0
T00513,8097.06,17,217.9,0,1,0,0,1
T00514,6031.18,12,858.71,3,4,0,0,0
T00515,138.82,23,1961.66,4,8,0,0,0
T00516,80.16,1,806.15,4,5,0,0,0
T00517,1417.04,18,625.12,4,5,0,0,0
T00518,4990.94,14,1873.73,0,4,0,0,0
T00519,13092.83,11,465.28,4,7,0,1,0
T00520,489.03,14,4028.73,5,10,0,0,0
T00521,2705.17,17,1655.91,3,8,0,0,0
T00522,1438.42,13,2132.48,2,9,0,0,0
T00523,10511.13,5,398.61,3,6,0,0,0
T00524,5537.74,11,981.04,5,9,0,0,0
T00525,5466.57,19,1319.46,0,1,0,0,0
T00526,1897.25,22,4128.42,4,3,1,1,0
T00527,1607.5,5,3675.92,1,1,0,0,0
T00528,958.17,8,630.71,6,5,0,0,0
T00529,174.08,3,2393.95,3,8,0,1,0
T00530,6001.28,16,697.49,4,6,0,0,0
T00531,5028.35,1,11109.15,1,10,1,0,0
T00532,24517.34,15,7597.85,4,5,0,0,1
T00533,17084.62,23,2071.07,6,1,1,0,1
T00534,2431.95,13,3000.8,2,1,0,0,0
T00535,4395.85,7,4041.54,6,5,0,1,0
T00536,8688.52,13,3191.34,4,5,0,1,0
T00537,5684.32,1,3008.5,4,8,1,1,0
T00538,852.46,15,7958.41,3,2,0,0,0
T00539,1796.48,3,2268.68,3,7,1,0,1
T00540,414.89,0,2528.58,2,5,0,1,1
T00541,9240.67,22,4730.64,3,2,1,0,0
T00542,2795.54,19,2770.83,3,5,0,0,0
T00543,778.81,13,3300.64,3,9,0,0,0
T00544,3341.49,7,666.98,2,5,0,0,0
T00545,2888.01,2,1160.12,2,5,1,1,1
